frame_id,x,y
1,640,360
2,641,361
3,642,362
4,643,364
5,644,365
6,645,367
7,647,368
8,649,370
9,650,372
10,652,373
11,654,375
12,656,375
13,658,373
14,659,371
15,660,369
16,661,367
17,663,365
18,665,363
19,667,361
20,669,358
21,671,355
22,673,352
23,675,349
24,677,346
25,679,343
26,681,340
27,685,337
28,689,334
29,694,331
30,699,328
31,704,325
32,710,322
33,716,319
34,723,316
35,730,313
36,738,310
37,746,307
38,754,303
39,762,300
40,770,296
41,778,292
42,787,288
43,796,284
44,806,281
45,818,279
46,832,278
47,849,279
48,872,283
49,903,291
50,943,303
51,993,319
52,1053,339
53,1122,363
54,1200,391
55,1280,421
56,1280,453
57,1280,485
58,1280,519
59,1280,553
60,1280,589
61,1280,627
62,1280,667
63,1280,708
64,1280,720
65,1280,720
66,1280,720
67,1280,720
68,1280,720
69,1280,720
70,1280,720
71,1280,720
72,1280,720
73,1280,720
74,1280,720
75,1280,720
76,1280,720
77,1280,720
78,1280,720
79,1280,720
80,1280,720
81,1280,720
82,1280,720
83,1280,720
84,1280,720
85,1280,720
86,1280,720
87,1280,720
88,1280,720
89,1280,720
90,1280,720
91,1280,720
92,1280,720
93,1280,720
94,1280,720
95,1280,720
96,1280,720
97,1280,720
98,1280,720
99,1280,720
100,1280,720
101,1280,720
102,1280,720
103,1280,720
104,1280,720
105,1280,720
106,1280,720
107,1280,720
108,1280,720
109,1280,720
110,1280,720
111,1280,720
112,1280,720
113,1280,720
114,1280,720
115,1280,720
116,1280,720
117,1280,720
118,1278,720
119,1275,720
120,1271,720
121,1267,720
122,1262,720
123,1256,720
124,1250,720
125,1244,720
126,1237,720
127,1230,720
128,1222,720
129,1213,720
130,1202,720
131,1189,720
132,1174,720
133,1158,720
134,1139,720
135,1119,720
136,1100,720
137,1081,720
138,1063,720
139,1046,720
140,1031,720
141,1018,720
142,1007,720
143,997,720
144,989,720
145,983,720
146,978,720
147,975,720
148,973,720
149,975,720
150,979,720
151,984,720
152,990,720
153,998,720
154,1009,720
155,1021,720
156,1036,720
157,1052,720
158,1068,720
159,1085,720
160,1103,720
161,1122,720
162,1142,720
163,1163,720
164,1185,720
165,1207,720
166,1231,720
167,1256,720
168,1280,720
169,1280,720
170,1280,720
171,1280,720
172,1280,720
173,1280,720
174,1280,720
175,1280,720
176,1280,720
177,1280,720
178,1280,720
179,1280,720
180,1280,720
181,1280,720
182,1280,720
183,1280,720
184,1280,720
185,1280,720
186,1280,720
187,1280,720
188,1280,720
189,1280,720
190,1280,720
191,1280,720
192,1280,720
193,1280,720
194,1280,720
195,1280,720
196,1280,720
197,1280,720
198,1280,720
199,1280,720
200,1280,720
201,1280,720
202,1280,720
203,1280,720
204,1280,720
205,1280,720
206,1280,720
207,1280,720
208,1280,720
209,1280,720
210,1280,720
211,1280,720
212,1280,720
213,1280,720
214,1280,720
215,1280,720
216,1280,720
217,1280,720
218,1280,720
219,1280,720
220,1280,720
221,1280,720
222,1280,720
223,1280,720
224,1280,720
225,1280,720
226,1280,720
227,1280,720
228,1280,720
229,1280,720
230,1280,720
231,1280,720
232,1280,720
233,1279,720
234,1278,720
235,1277,720
236,1275,720
237,1273,720
238,1271,720
239,1270,720
240,1270,720
241,1270,720
242,1271,720
243,1272,720
244,1273,720
245,1274,720
246,1276,720
247,1278,720
248,1280,720
249,1280,720
250,1280,720
251,1280,720
252,1280,720
253,1280,720
254,1280,720
255,1280,720
256,1280,720
257,1280,720
258,1280,720
259,1280,720
260,1280,720
261,1280,720
262,1280,720
263,1280,720
264,1280,720
265,1280,720
266,1280,720
267,1280,720
268,1280,720
269,1280,720
270,1280,720
271,1280,720
272,1280,720
273,1280,720
274,1280,720
275,1280,720
276,1280,720
277,1280,720
278,1280,720
279,1280,720
280,1280,720
281,1280,720
282,1280,720
283,1280,720
284,1280,720
285,1280,720
286,1280,720
287,1280,720
288,1280,720
289,1280,720
290,1280,720
291,1280,720
292,1280,720
293,1280,720
294,1280,720
295,1280,720
296,1280,720
297,1280,720
298,1280,720
299,1280,720
300,1280,720
301,1280,720
302,1280,720
303,1280,720
304,1280,720
305,1280,720
306,1280,720
307,1280,720
308,1280,720
309,1280,720
310,1280,720
311,1280,720
312,1280,720
313,1280,720
314,1280,720
315,1280,720
316,1280,720
317,1280,720
318,1280,720
319,1280,720
320,1280,720
321,1280,720
322,1280,720
323,1280,720
324,1280,720
325,1280,720
326,1280,720
327,1280,720
328,1280,720
329,1280,720
330,1280,720
331,1280,720
332,1280,720
333,1280,720
334,1280,720
335,1280,720
336,1280,720
337,1280,720
338,1280,720
339,1280,720
340,1280,720
341,1280,720
342,1280,720
343,1280,720
344,1280,720
345,1280,720
346,1280,720
347,1280,720
348,1280,720
349,1280,720
350,1280,720
351,1280,720
352,1280,720
353,1280,720
354,1280,720
355,1280,720
356,1280,720
357,1280,720
358,1280,720
359,1280,720
360,1280,720
361,1280,720
362,1280,720
363,1280,720
364,1280,720
365,1280,720
366,1280,720
367,1280,720
368,1280,720
369,1280,720
370,1280,720
371,1280,720
372,1280,720
373,1280,720
374,1280,720
375,1280,720
376,1280,720
377,1280,720
378,1280,720
379,1280,720
380,1280,720
381,1280,720
382,1280,720
383,1280,720
384,1280,720
385,1280,720
386,1280,720
387,1280,720
388,1280,720
389,1280,720
390,1280,720
391,1280,720
392,1280,720
393,1280,720
394,1280,720
395,1280,720
396,1280,720
397,1280,720
398,1280,720
399,1280,720
400,1280,720
401,1280,720
402,1280,720
403,1280,720
404,1280,720
405,1280,720
406,1280,720
407,1280,720
408,1280,720
409,1280,720
410,1280,720
411,1280,720
412,1280,720
413,1280,720
414,1280,720
415,1280,720
416,1280,720
417,1280,720
418,1280,720
419,1280,720
420,1280,720
421,1280,720
422,1280,720
423,1280,720
424,1280,720
425,1280,720
426,1280,720
427,1280,720
428,1280,720
429,1280,720
430,1280,720
431,1280,720
432,1280,720
433,1280,720
434,1280,720
435,1280,720
436,1280,720
437,1280,720
438,1280,720
439,1280,720
440,1280,720
441,1280,720
442,1280,720
443,1280,720
444,1280,720
445,1280,720
446,1280,720
447,1279,720
448,1276,720
449,1273,720
450,1270,720
451,1267,720
452,1264,720
453,1260,720
454,1256,720
455,1252,720
456,1248,720
457,1243,720
458,1238,720
459,1233,720
460,1228,720
461,1223,720
462,1218,720
463,1213,720
464,1208,720
465,1204,720
466,1200,720
467,1197,720
468,1195,720
469,1193,720
470,1192,720
471,1191,720
472,1192,720
473,1194,720
474,1196,720
475,1199,720
476,1202,720
477,1206,720
478,1210,720
479,1215,720
480,1221,720
481,1228,720
482,1236,720
483,1244,720
484,1253,720
485,1262,720
486,1272,720
487,1280,720
488,1280,720
489,1280,720
490,1280,720
491,1280,720
492,1280,720
493,1280,720
494,1280,720
495,1280,720
496,1280,720
497,1280,720
498,1280,720
499,1280,720
500,1280,720
501,1280,720
502,1280,720
503,1280,720
504,1280,720
505,1280,720
506,1280,720
507,1280,720
508,1280,720
509,1280,720
510,1280,720
511,1280,720
512,1280,720
513,1280,720
514,1280,720
515,1280,720
516,1280,720
517,1280,720
518,1280,720
519,1280,720
520,1280,720
521,1280,720
522,1280,720
523,1280,720
524,1280,720
525,1280,720
526,1280,720
527,1280,720
528,1280,720
529,1280,720
530,1280,720
