frame_id,x,y
1,195,469
2,195,469
3,213,484
4,213,484
5,232,496
6,232,496
7,254,504
8,254,504
9,277,509
10,277,509
11,300,512
12,300,512
13,323,514
14,323,514
15,346,515
16,346,515
17,370,513
18,370,513
19,392,507
20,392,507
21,414,498
22,414,498
23,433,484
24,433,484
25,450,468
26,450,468
27,464,449
28,464,449
29,477,429
30,477,429
31,488,409
32,488,409
33,501,390
34,501,390
35,518,375
36,518,375
37,540,368
38,540,368
39,563,370
40,563,370
41,586,372
42,586,372
43,609,377
44,609,377
45,631,384
46,631,384
47,653,393
48,653,393
49,674,402
50,674,402
51,694,414
52,694,414
53,714,426
54,714,426
55,733,438
56,733,438
57,753,452
58,753,452
59,771,466
60,771,466
61,789,480
62,789,481
63,807,495
64,807,495
65,825,510
66,825,511
67,843,525
68,843,525
69,860,539
70,860,539
71,879,554
72,879,554
73,897,569
74,897,569
75,915,583
76,915,583
77,934,597
78,934,597
79,953,610
80,953,610
81,973,622
82,973,622
83,994,632
84,994,632
85,1015,640
86,1015,640
87,1038,648
88,1038,648
89,1061,650
90,1061,650
91,1084,650
92,1084,650
93,1108,648
94,1108,648
95,1130,642
96,1130,642
97,1151,632
98,1151,632
99,1171,619
100,1171,619
101,1187,602
102,1187,602
103,1201,584
104,1201,584
105,1212,565
106,1212,565
107,1221,544
108,1221,544
109,1227,519
110,1227,519
111,1231,497
112,1231,497
113,1233,473
114,1233,473
115,1234,449
116,1234,449
117,1234,426
118,1234,426
119,1233,402
120,1233,402
121,1231,381
122,1231,381
123,1229,357
124,1229,357
125,1225,333
126,1225,333
127,1220,309
128,1220,309
129,1215,287
130,1215,287
131,1207,264
132,1207,264
133,1199,242
134,1199,242
135,1190,221
136,1190,221
137,1178,201
138,1178,201
139,1165,184
140,1165,184
141,1149,165
142,1149,165
143,1132,149
144,1132,149
145,1113,134
146,1113,134
147,1092,124
148,1092,124
149,1071,114
150,1071,114
151,1048,108
152,1048,108
153,1025,104
154,1025,104
155,1002,103
156,1002,103
157,978,104
158,978,104
159,955,106
160,955,106
161,930,110
162,930,110
163,906,114
164,906,114
165,881,118
166,881,118
167,856,123
168,856,123
169,831,127
170,831,127
171,806,132
172,806,132
173,781,137
174,781,137
175,756,142
176,756,142
177,731,148
178,731,148
179,706,153
180,706,153
181,682,160
182,682,160
183,657,167
184,657,167
185,633,173
186,633,173
187,609,181
188,609,181
189,585,190
190,585,190
191,561,199
192,561,199
193,537,208
194,537,208
195,514,218
196,514,218
197,491,228
198,491,228
199,468,240
200,468,240
201,446,253
202,446,253
203,424,266
204,424,266
205,403,279
206,403,279
207,382,294
208,382,294
209,362,311
210,362,311
211,342,327
212,342,327
213,324,344
214,324,344
215,306,362
216,306,362
217,289,380
218,289,380
219,273,400
220,273,400
221,258,421
222,258,421
223,243,442
224,243,442
225,230,462
226,230,462
227,217,485
228,218,485
229,205,508
230,205,508
231,196,528
232,196,528
233,190,547
234,190,547
235,187,567
236,187,567
237,189,587
238,189,587
239,194,606
240,194,606
241,205,623
242,205,623
243,219,637
244,219,637
245,236,649
246,236,649
247,252,660
248,252,660
249,270,668
250,270,668
251,290,673
252,290,673
253,309,680
254,309,680
255,328,685
256,328,685
257,348,690
258,348,690
259,368,692
260,368,692
261,388,694
262,388,694
263,408,695
264,408,695
265,428,696
266,428,696
267,448,697
268,448,697
269,469,696
270,469,696
271,490,696
272,490,696
273,511,695
274,511,695
275,532,694
276,532,694
277,553,693
278,553,693
279,574,688
280,574,688
281,595,682
282,595,682
283,616,676
284,616,676
285,636,670
286,636,670
287,655,663
288,655,663
289,676,655
290,676,655
291,695,646
292,695,646
293,713,636
294,713,636
295,732,625
296,732,625
297,750,614
298,750,614
299,769,603
300,769,603
301,786,591
302,786,591
303,803,578
304,803,578
305,819,564
306,819,564
307,835,549
308,835,549
309,850,535
310,850,535
311,865,520
312,865,520
313,879,503
314,879,503
315,893,487
316,893,487
317,907,471
318,907,471
319,919,454
320,919,454
321,931,436
322,931,436
323,942,419
324,942,419
325,954,400
326,954,400
327,964,382
328,964,382
329,974,362
330,974,362
331,984,344
332,984,344
333,993,325
334,993,325
335,1002,306
336,1002,306
337,1010,286
338,1010,286
339,1018,266
340,1018,266
341,1025,247
342,1025,247
343,1031,225
344,1031,225
345,1034,204
346,1034,204
347,1035,181
348,1035,181
349,1033,159
350,1033,159
351,1029,137
352,1029,137
353,1020,119
354,1020,119
355,1007,102
356,1007,102
357,992,86
358,992,86
359,974,73
360,974,73
361,954,64
362,954,64
363,933,56
364,933,56
365,913,52
366,913,52
367,891,48
368,891,48
369,869,46
370,869,46
371,847,44
372,847,44
373,826,45
374,826,45
375,804,45
376,804,45
377,782,46
378,782,46
379,760,48
380,760,48
381,739,51
382,739,51
383,717,53
384,717,53
385,696,56
386,696,56
387,674,60
388,674,60
389,652,64
390,652,64
391,632,68
392,632,68
393,610,73
394,610,73
395,589,78
396,589,78
397,568,84
398,568,84
399,547,88
400,547,88
401,526,94
402,526,94
403,498,102
404,498,102
405,465,113
406,465,113
407,431,125
408,431,124
409,397,135
410,397,135
411,363,147
412,363,147
413,330,159
414,330,159
415,298,172
416,298,172
417,266,188
418,266,188
419,235,206
420,235,206
421,208,229
422,208,229
423,187,258
424,187,258
425,175,292
426,175,292
427,170,326
428,170,326
429,170,354
430,170,354
431,170,368
432,170,368
433,171,382
434,171,382
435,173,397
436,173,397
437,175,412
438,175,412
439,179,427
440,179,427
441,183,440
442,183,440
443,187,455
444,187,455
445,193,470
446,193,470
447,198,484
448,198,484
449,204,497
450,204,497
451,211,510
452,211,510
453,219,523
454,219,523
455,227,536
456,227,536
457,236,548
458,236,548
459,246,558
460,246,558
461,257,568
462,257,568
463,268,578
464,268,578
465,280,586
466,280,586
467,297,595
468,297,595
469,321,595
470,321,595
471,341,581
472,341,581
473,357,564
474,357,564
475,371,543
476,371,543
477,385,523
478,385,523
479,399,502
480,399,502
481,413,480
482,413,480
483,430,461
484,430,461
485,450,448
486,450,448
487,476,441
488,476,441
489,505,446
490,505,446
491,532,460
492,532,460
493,555,476
494,555,476
495,577,498
496,577,498
497,596,520
498,596,520
499,614,544
500,614,544
501,614,544
502,631,569
503,631,569
504,649,593
505,649,593
506,666,617
507,666,617
508,685,641
509,685,640
510,705,663
511,705,663
512,725,683
513,725,683
514,749,698
515,749,698
516,778,704
517,778,704
518,809,704
519,809,704
520,837,693
521,837,693
522,858,664
523,858,665
524,870,633
525,870,633
526,879,599
527,879,599
528,885,564
529,885,564
530,888,528
531,888,528
532,890,493
533,890,493
534,888,456
535,888,456
536,885,423
537,885,423
538,879,387
539,879,387
540,872,353
541,872,353
542,863,319
543,863,319
544,851,287
545,851,287
546,836,254
547,836,254
548,818,224
549,818,224
550,795,196
551,795,196
552,776,179
553,776,179
554,766,182
555,766,182
556,758,191
557,758,191
558,752,200
559,752,200
560,746,209
561,746,209
562,740,219
563,740,219
564,735,228
565,735,228
566,729,238
567,729,238
568,716,255
569,716,255
570,679,267
571,679,267
572,639,271
573,639,271
574,599,286
575,599,286
576,553,302
577,553,302
578,507,318
579,507,318
580,461,334
581,461,334
582,415,350
583,415,350
584,370,368
585,370,368
586,325,388
587,325,388
588,281,408
589,281,408
590,239,431
591,239,431
592,198,459
593,198,459
594,163,491
595,163,491
596,146,528
597,146,528
598,157,552
599,157,552
600,175,571
601,175,571
602,196,587
603,196,587
604,218,601
605,218,601
606,241,614
607,241,614
608,264,626
609,264,626
610,289,637
611,289,637
612,313,647
613,313,647
614,337,656
615,337,656
616,361,666
617,361,666
618,386,674
619,386,674
620,411,682
621,411,682
622,436,690
623,436,690
624,461,695
625,461,695
626,487,698
627,487,698
628,513,701
629,513,701
630,539,702
631,539,702
632,568,703
633,568,703
634,596,704
635,596,704
636,625,702
637,625,702
638,654,700
639,654,700
640,682,698
641,682,698
642,710,696
643,710,696
644,739,691
645,739,691
646,766,683
647,766,683
648,794,673
649,793,673
650,820,663
651,820,664
652,847,652
653,847,652
654,873,641
655,873,641
656,899,626
657,899,626
658,924,613
659,924,613
660,949,598
661,949,598
662,973,582
663,973,582
664,996,566
665,996,566
666,1020,549
667,1020,549
668,1042,532
669,1042,532
670,1064,513
671,1064,513
672,1086,494
673,1086,494
674,1106,474
675,1106,474
676,1126,454
677,1126,454
678,1146,432
679,1146,433
680,1164,410
681,1164,410
682,1182,388
683,1182,388
684,1198,364
685,1198,364
686,1212,339
687,1212,339
688,1226,314
689,1226,314
690,1236,286
691,1236,286
692,1244,259
693,1244,259
694,1247,229
695,1247,229
696,1248,207
697,1248,207
698,1244,194
699,1244,194
700,1235,186
701,1235,186
702,1223,185
703,1223,185
704,1210,187
705,1210,187
706,1199,191
707,1199,191
708,1187,197
709,1187,197
710,1176,202
711,1176,202
712,1165,207
713,1165,207
714,1154,213
715,1154,213
716,1143,219
717,1143,219
718,1132,225
719,1132,225
720,1122,231
721,1122,231
722,1111,238
723,1111,238
724,1100,244
725,1100,244
726,1089,249
727,1089,249
728,1078,255
729,1078,255
730,1068,261
731,1068,261
732,1057,267
733,1057,267
734,1046,273
735,1046,273
736,1035,278
737,1035,278
738,1023,285
739,1023,285
740,1013,290
741,1013,290
742,1001,295
743,1001,295
744,990,300
745,990,300
746,979,305
747,979,305
748,967,309
749,967,309
750,955,313
751,956,314
752,943,318
753,943,318
754,932,321
755,932,321
756,920,324
757,920,324
758,907,327
759,907,327
760,895,329
761,895,329
762,882,330
763,882,330
764,870,330
765,870,330
766,857,330
767,857,330
768,841,327
769,841,327
770,826,321
771,826,321
772,811,316
773,811,316
774,796,309
775,796,309
776,782,303
777,782,303
778,767,296
779,767,296
780,753,288
781,753,288
782,739,281
783,739,281
784,725,273
785,725,273
786,711,266
787,711,266
788,697,258
789,697,258
790,683,250
791,683,250
792,669,242
793,669,242
794,655,234
795,655,234
796,642,225
797,642,225
798,628,218
799,628,218
800,614,210
801,614,210
802,600,202
803,600,202
804,586,194
805,586,194
806,572,186
807,572,186
808,558,178
809,558,178
810,545,170
811,545,170
812,530,161
813,530,161
814,516,153
815,516,153
816,502,145
817,502,145
818,488,137
819,488,137
820,474,129
821,474,129
822,460,122
823,460,122
824,446,115
825,446,115
826,432,107
827,432,107
828,418,99
829,418,99
830,403,92
831,403,92
832,388,86
833,388,86
834,374,80
835,374,80
836,359,73
837,359,73
838,344,69
839,344,69
840,329,63
841,329,63
842,313,58
843,313,58
844,297,56
845,297,56
846,281,55
847,281,55
848,265,56
849,265,56
850,250,59
851,250,59
852,234,63
853,234,63
854,219,67
855,219,67
856,205,73
857,205,73
858,191,81
859,191,81
860,177,87
861,177,87
862,163,97
863,163,97
864,151,107
865,151,107
866,138,116
867,138,117
868,126,127
869,126,127
870,115,137
871,115,137
872,104,149
873,104,149
874,94,161
875,94,161
876,84,174
877,84,174
878,75,186
879,75,186
880,67,200
881,67,200
882,59,215
883,59,215
884,53,228
885,53,228
886,47,243
887,47,243
888,43,259
889,43,259
890,40,275
891,40,275
892,39,291
893,39,291
894,40,306
895,40,306
896,44,321
897,44,321
898,50,336
899,50,336
900,57,351
901,57,351
902,65,364
903,65,364
904,75,377
905,75,377
906,85,389
907,85,389
908,95,400
909,95,400
910,107,412
911,107,412
912,119,422
913,119,422
914,131,432
915,131,432
916,144,441
917,144,442
918,157,451
919,157,451
920,171,459
921,171,459
922,185,466
923,185,466
924,197,469
925,197,469
926,206,477
927,206,477
928,215,486
929,215,486
930,225,493
931,225,493
932,236,499
933,236,498
934,248,501
935,248,501
936,260,505
937,260,505
938,272,507
939,272,507
940,284,509
941,284,509
942,296,510
943,296,510
944,308,511
945,308,511
946,321,512
947,321,512
948,333,513
949,333,513
950,346,514
951,346,514
952,361,513
953,361,513
954,387,508
955,387,508
956,412,498
957,412,498
958,435,482
959,435,482
960,454,465
961,454,465
962,469,442
963,469,442
964,483,419
965,483,419
966,498,395
967,498,395
968,516,377
969,516,377
970,542,369
971,542,369
972,566,371
973,566,371
974,589,374
975,589,374
976,612,379
977,612,379
978,634,387
979,634,387
980,657,395
981,657,395
982,678,404
983,678,404
984,698,416
985,698,416
986,719,428
987,719,428
988,738,442
989,738,442
990,757,455
991,757,455
992,776,470
993,776,470
994,795,484
995,795,484
996,813,500
997,813,500
998,831,514
999,831,514
1000,849,530
1001,849,530
1002,867,546
1003,867,546
1004,886,560
1005,886,560
1006,904,576
1007,904,576
1008,922,590
1009,922,590
1010,942,604
1011,942,604
1012,962,617
1013,962,617
1014,982,628
1015,982,628
1016,1004,638
1017,1004,638
1018,1026,646
1019,1026,646
1020,1050,652
1021,1050,652
1022,1073,653
1023,1073,653
1024,1093,650
1025,1093,650
1026,1113,648
1027,1113,648
1028,1132,641
1029,1132,641
1030,1151,633
1031,1151,633
1032,1168,621
1033,1168,621
1034,1182,608
1035,1182,608
1036,1196,593
1037,1196,593
1038,1207,575
1039,1207,575
1040,1215,557
